PART#,"PRICE Rs.",URL,NAME
5513,12.00,https://www.sunrom.com/m/5513,"SIM Card Holder - 6 pin - Flip Open - Hinge Cover Type"
5497,180.00,https://www.sunrom.com/m/5497,"5V@0.7A AC-DC Isolated SMPS - 220V Input - 5V 700mA DC output"
5500,0.75,https://www.sunrom.com/m/5500,"2mm Spacer for 3mm(T-1) LEDs"
5499,145.00,https://www.sunrom.com/m/5499,"Solid State Relay(SSR) DC(24V) - AC(100-240V) 2A"
5496,180.00,https://www.sunrom.com/m/5496,"AC-DC Isolated Power Module 220V to 12V@0.41A (410mA) 5W SMPS Vertical Mounting"
5489,15.00,https://www.sunrom.com/m/5489,"Micro USB Connector - B Female - 5 Pin Through Hole - Vertical Mounting"
4513,275.00,https://www.sunrom.com/m/4513,"AC-DC Isolated Power Module 220V to 5V@0.6A 3W HLK-PM01"
5432,1950.00,https://www.sunrom.com/m/5432,"QFP64 TQFP64 - 0.5mm - Body 10x10mm (12x12mm with Pins) - ZIF Socket"
5431,1850.00,https://www.sunrom.com/m/5431,"QFP48 TQFP48 LQFP48 PQFP48 - 0.5mm - Body 7x7mm (9x9mm with Pins) - ZIF Socket"
5430,1450.00,https://www.sunrom.com/m/5430,"QFP44 TQFP44 LQFP44 - 0.8mm - Body 10x10mm(12x12mm with Pins) - ZIF Socket"
5429,1450.00,https://www.sunrom.com/m/5429,"QFP32 PQFP32 TQFP32 - 0.5mm - Body 5x5mm (7x7mm with Pins) - ZIF Socket"
5428,500.00,https://www.sunrom.com/m/5428,"TSSOP20 SSOP20 - 0.65mm - Body 5.3mm - ZIF Socket"
5427,500.00,https://www.sunrom.com/m/5427,"TSSOP28 SSOP28 - 0.65mm - Body 5.3mm - ZIF Socket"
5426,500.00,https://www.sunrom.com/m/5426,"TSSOP10 SSOP10 - 0.65mm - Body 4.4mm - ZIF Socket"
5425,500.00,https://www.sunrom.com/m/5425,"TSSOP24 SSOP24 - 0.65mm - Body 4.4mm - ZIF Socket"
5424,500.00,https://www.sunrom.com/m/5424,"TSSOP24 SSOP24 - 0.65mm - Body 5.3mm - ZIF Socket"
5423,500.00,https://www.sunrom.com/m/5423,"TSSOP14 SSOP14 - 0.65mm - Body 4.4mm - ZIF Socket"
5422,500.00,https://www.sunrom.com/m/5422,"TSSOP16 SSOP16 - 0.65mm - Body 4.4mm - ZIF Socket"
5421,500.00,https://www.sunrom.com/m/5421,"SOIC24 SOP24 - 1.27mm - Body 7.5mm (300mils) - ZIF Socket"
5420,500.00,https://www.sunrom.com/m/5420,"SOIC18 SOP18 - 1.27mm - Body 300mil (7.5mm)"
5419,500.00,https://www.sunrom.com/m/5419,"SOIC20 SOP20 - 1.27mm - Body 7.5mm (300mils) - ZIF Socket"
5418,500.00,https://www.sunrom.com/m/5418,"TSSOP8 SSOP8 - 0.65mm - Body 4.4mm - ZIF Socket"
5417,500.00,https://www.sunrom.com/m/5417,"SOIC16 SOP16 - 1.27mm - Body 7.5mm (300mil) - ZIF Socket"
5416,500.00,https://www.sunrom.com/m/5416,"SOIC16 - 1.27mm - Body 5.3/5.4mm (0.209 inch) - ZIF Socket"
5414,1850.00,https://www.sunrom.com/m/5414,"QFP32 - TQFP32 - FQFP32 - 0.8mm - Body 7x7mm (9x9mm with Pins) - ZIF Socket"
5413,500.00,https://www.sunrom.com/m/5413,"SOIC14 - 1.27mm - Body 3.9mm (150mil) - ZIF Socket"
5412,500.00,https://www.sunrom.com/m/5412,"TSSOP28 SSOP28 - 0.65mm - Body 4.4mm - ZIF Socket"
5411,500.00,https://www.sunrom.com/m/5411,"SOIC20 SOP20 - 1.27mm - Body 5.3/5.4mm (0.209 inch) - ZIF Socket"
5410,500.00,https://www.sunrom.com/m/5410,"SOIC16 - 1.27mm - Body 3.9mm - ZIF Socket"
5409,500.00,https://www.sunrom.com/m/5409,"SOIC8 - 1.27mm - Wide Body 5.25/5.28/5.3/5.4mm (0.209 inch) - ZIF Socket"
5415,850.00,https://www.sunrom.com/m/5415,"Universal Test Clip for SOIC8 1.27mm both Narrow & Wide Body"
3986,8.50,https://www.sunrom.com/m/3986,"Stereo Socket - PCB Mount - 3.5mm"
5494,330.00,https://www.sunrom.com/m/5494,"AC-DC Isolated Power Module 220V to 12V@0.41A 5W HLK-5M12"
5493,330.00,https://www.sunrom.com/m/5493,"AC-DC Isolated Power Module 220V to 3.3V@1.5A 5W HLK-5M03"
5492,330.00,https://www.sunrom.com/m/5492,"AC-DC Isolated Power Module 220V to 5V@1A 5W HLK-5M05"
5491,297.00,https://www.sunrom.com/m/5491,"AC-DC Isolated Power Module 220V to 12V@0.25A 3W HLK-PM12"
5490,297.00,https://www.sunrom.com/m/5490,"AC-DC Isolated Power Module 220V to 3.3V@0.9A 3W HLK-PM03"
5488,135.00,https://www.sunrom.com/m/5488,"2.4 Ghz Antenna for Wifi with IPX/IPEX Cable"
5487,38.00,https://www.sunrom.com/m/5487,"SMA Male - Wire Solder - RG178 - SMA-1.5 Female Thread 50-1.5"
5512,0.75,https://www.sunrom.com/m/5512,"15mm Spacer for 3mm(T-1) LEDs"
5511,0.75,https://www.sunrom.com/m/5511,"13mm Spacer for 3mm(T-1) LEDs"
5510,0.75,https://www.sunrom.com/m/5510,"12mm Spacer for 3mm(T-1) LEDs"
5509,0.75,https://www.sunrom.com/m/5509,"11mm Spacer for 3mm(T-1) LEDs"
5508,0.75,https://www.sunrom.com/m/5508,"10mm Spacer for 3mm(T-1) LEDs"
5507,0.75,https://www.sunrom.com/m/5507,"9mm Spacer for 3mm(T-1) LEDs"
